LeadID,LeadCreatedDateKey,CampaignID,City,LeadScore,Status,QualifiedFlag,KycDoneFlag,AccountOpenedFlag,ConvertedInvestorID,FirstInvestmentDateKey
L0000038,20241229,CMP0002,Mississauga,48,New,0,0,0,,
L0000039,20241108,CMP0015,London,11,New,0,0,0,,
L0000040,20240113,CMP0010,Windsor,12,New,0,0,0,,
L0000041,20240326,CMP0014,Toronto,26,New,0,0,0,,
L0000042,20241027,CMP0002,Windsor,19,New,0,0,0,,
L0000043,20240122,CMP0016,London,82,Account Opened,1,1,1,,
L0000044,20241109,CMP0001,Kitchener,21,Lost,0,0,0,,
L0000045,20240412,CMP0017,Ottawa,57,Qualified,1,0,0,,
L0000046,20241201,CMP0012,Ottawa,73,Account Opened,1,1,1,,
L0000047,20240417,CMP0007,Markham,66,Invested,1,1,1,INV000002,20240423
L0000048,20240607,CMP0001,Ottawa,68,Invested,1,1,1,INV000003,20240716
L0000049,20240830,CMP0011,Vaughan,42,New,0,0,0,,
L0000050,20240216,CMP0002,Vaughan,89,Invested,1,1,1,INV000004,20240329
L0000051,20240722,CMP0011,Ottawa,16,New,0,0,0,,
L0000052,20240703,CMP0014,Ottawa,19,Lost,0,0,0,,
L0000053,20241013,CMP0005,Ottawa,87,Invested,1,1,1,INV000005,20241124
L0000054,20241230,CMP0005,London,16,Lost,0,0,0,,
L0000055,20240831,CMP0004,London,27,Lost,0,0,0,,
L0000056,20240529,CMP0005,Hamilton,25,New,0,0,0,,
L0000057,20240528,CMP0003,Toronto,12,Lost,0,0,0,,
L0000058,20240601,CMP0005,Windsor,20,New,0,0,0,,
L0000059,20241024,CMP0012,Mississauga,61,Account Opened,1,1,1,,
L0000060,20240427,CMP0006,Mississauga,69,Invested,1,1,1,INV000006,20240502
L0000061,20240302,CMP0015,Toronto,17,New,0,0,0,,
L0000062,20240502,CMP0015,Toronto,94,Account Opened,1,1,1,,
L0000063,20240109,CMP0014,Ottawa,18,New,0,0,0,,
L0000064,20240208,CMP0010,Toronto,71,Account Opened,1,1,1,,
L0000065,20240202,CMP0006,Toronto,82,Invested,1,1,1,INV000007,20240222
L0000066,20241009,CMP0017,Toronto,56,Account Opened,1,1,1,,
L0000067,20240921,CMP0004,Toronto,54,Invested,1,1,1,INV000008,20241020
L0000068,20240912,CMP0009,Windsor,19,New,0,0,0,,
L0000069,20240618,CMP0009,Ottawa,31,New,0,0,0,,
L0000070,20240919,CMP0014,Toronto,86,Lost,1,0,0,,
L0000071,20240229,CMP0010,Ottawa,41,New,0,0,0,,
L0000072,20241125,CMP0015,Hamilton,13,New,0,0,0,,
L0000073,20240702,CMP0017,Ottawa,75,Invested,1,1,1,INV000009,20240705
L0000074,20241209,CMP0008,Mississauga,71,Invested,1,1,1,INV000010,20241231
L0000075,20240225,CMP0016,Hamilton,15,New,0,0,0,,
L0000076,20240701,CMP0004,Toronto,14,New,0,0,0,,
L0000077,20240911,CMP0017,Toronto,20,New,0,0,0,,
L0000078,20240630,CMP0004,Windsor,14,New,0,0,0,,
L0000079,20240612,CMP0016,Brampton,65,Account Opened,1,1,1,,
L0000080,20240301,CMP0008,Toronto,21,New,0,0,0,,
L0000081,20240519,CMP0018,Toronto,64,Qualified,1,0,0,,
L0000082,20240328,CMP0003,London,25,Lost,0,0,0,,
L0000083,20240420,CMP0009,Toronto,97,Invested,1,1,1,INV000011,20240525
L0000084,20240907,CMP0017,Brampton,75,KYC Done,1,1,0,,
L0000085,20240818,CMP0001,Mississauga,43,New,0,0,0,,
L0000086,20240810,CMP0005,Mississauga,48,New,0,0,0,,
L0000087,20240512,CMP0002,Ottawa,15,New,0,0,0,,
L0000088,20241217,CMP0006,Toronto,14,Lost,0,0,0,,
L0000089,20240202,CMP0008,Ottawa,58,Qualified,1,0,0,,
L0000090,20240505,CMP0012,Toronto,12,New,0,0,0,,
L0000091,20240213,CMP0005,Windsor,67,KYC Done,1,1,0,,
L0000092,20240504,CMP0003,Hamilton,44,Lost,0,0,0,,
L0000093,20241218,CMP0004,Toronto,22,Lost,0,0,0,,
L0000094,20240514,CMP0017,Toronto,58,KYC Done,1,1,0,,
L0000095,20241128,CMP0018,London,59,KYC Done,1,1,0,,
L0000096,20240630,CMP0004,London,77,KYC Done,1,1,0,,
L0000097,20240913,CMP0004,Brampton,27,Lost,0,0,0,,
L0000098,20240616,CMP0001,Toronto,59,Lost,1,0,0,,
L0000099,20240407,CMP0018,Ottawa,86,Lost,1,0,0,,
L0000100,20241006,CMP0013,Mississauga,34,New,0,0,0,,
L0000101,20241220,CMP0014,Toronto,85,Invested,1,1,1,INV000012,20241224
L0000102,20240406,CMP0006,Brampton,75,Invested,1,1,1,INV000013,20240509
L0000103,20241012,CMP0012,London,48,New,0,0,0,,
L0000104,20240405,CMP0002,Brampton,89,KYC Done,1,1,0,,
L0000105,20240919,CMP0013,Toronto,97,Lost,1,1,0,,
L0000106,20241015,CMP0011,Toronto,31,New,0,0,0,,
L0000107,20240613,CMP0006,Hamilton,98,KYC Done,1,1,0,,
L0000108,20240926,CMP0013,Ottawa,10,New,0,0,0,,
L0000109,20240409,CMP0012,Hamilton,21,New,0,0,0,,
L0000110,20240130,CMP0008,Ottawa,13,New,0,0,0,,
L0000111,20240205,CMP0004,Ottawa,43,New,0,0,0,,
L0000112,20240612,CMP0001,Ottawa,94,Invested,1,1,1,INV000014,20240613
L0000113,20241126,CMP0017,Windsor,64,KYC Done,1,1,0,,
L0000114,20240216,CMP0006,Vaughan,65,Qualified,1,0,0,,
L0000115,20240615,CMP0006,Brampton,17,New,0,0,0,,
L0000116,20240914,CMP0013,Hamilton,56,Lost,1,1,0,,
L0000117,20240315,CMP0005,Toronto,44,New,0,0,0,,
L0000118,20240921,CMP0007,Toronto,53,New,0,0,0,,
L0000119,20240421,CMP0013,Mississauga,33,New,0,0,0,,
L0000120,20241022,CMP0011,London,28,New,0,0,0,,
L0000121,20240730,CMP0012,Kitchener,95,Lost,1,0,0,,
L0000122,20240719,CMP0001,London,60,Invested,1,1,1,INV000015,20240819
L0000123,20240305,CMP0009,London,47,New,0,0,0,,
L0000124,20240618,CMP0009,Toronto,16,New,0,0,0,,
L0000125,20241109,CMP0012,Kitchener,78,KYC Done,1,1,0,,
L0000126,20240108,CMP0003,Toronto,52,KYC Done,1,1,0,,
L0000127,20241004,CMP0003,Kitchener,44,New,0,0,0,,
L0000128,20240629,CMP0014,Toronto,70,Qualified,1,0,0,,
L0000129,20240920,CMP0013,Toronto,21,New,0,0,0,,
L0000130,20240830,CMP0015,Ottawa,57,Lost,0,0,0,,
L0000131,20240607,CMP0005,Toronto,87,Invested,1,1,1,INV000016,20240619
L0000132,20240422,CMP0018,Toronto,51,New,0,0,0,,
L0000133,20240817,CMP0005,Hamilton,10,Lost,0,0,0,,
L0000134,20240221,CMP0012,London,30,New,0,0,0,,
L0000135,20240801,CMP0003,Mississauga,15,New,0,0,0,,
L0000136,20240204,CMP0017,Ottawa,55,KYC Done,1,1,0,,
L0000137,20240825,CMP0006,Hamilton,42,New,0,0,0,,
L0000138,20240818,CMP0015,Toronto,21,New,0,0,0,,
L0000139,20240131,CMP0006,Ottawa,71,Invested,1,1,1,INV000017,20240227
L0000140,20241004,CMP0015,Hamilton,25,Lost,0,0,0,,
L0000141,20240601,CMP0009,Vaughan,40,New,0,0,0,,
L0000142,20241015,CMP0002,Brampton,98,Account Opened,1,1,1,,
L0000143,20240116,CMP0004,London,15,New,0,0,0,,
L0000144,20240306,CMP0013,Ottawa,32,New,0,0,0,,
L0000145,20240629,CMP0004,London,38,New,0,0,0,,
L0000146,20240309,CMP0005,Markham,55,Invested,1,1,1,INV000018,20240312
L0000147,20240430,CMP0010,Ottawa,32,New,0,0,0,,
L0000148,20240829,CMP0005,Toronto,97,Account Opened,1,1,1,,
L0000149,20240222,CMP0003,Vaughan,10,New,0,0,0,,
L0000150,20240905,CMP0012,Hamilton,95,Qualified,1,0,0,,
L0000151,20240207,CMP0013,Hamilton,58,Invested,1,1,1,INV000019,20240219
L0000152,20240305,CMP0014,Ottawa,13,Lost,0,0,0,,
L0000153,20240803,CMP0017,Toronto,20,New,0,0,0,,
L0000154,20241017,CMP0003,Ottawa,19,Lost,0,0,0,,
L0000155,20240303,CMP0008,Ottawa,35,New,0,0,0,,
L0000156,20240419,CMP0005,Brampton,39,New,0,0,0,,
L0000157,20241204,CMP0017,Toronto,67,Qualified,1,0,0,,
L0000158,20241228,CMP0010,Markham,38,New,0,0,0,,
L0000159,20240731,CMP0002,Ottawa,75,Invested,1,1,1,INV000020,20240801
L0000160,20240612,CMP0013,London,36,New,0,0,0,,
L0000161,20240506,CMP0001,Toronto,33,New,0,0,0,,
L0000162,20240812,CMP0005,Ottawa,34,New,0,0,0,,
L0000163,20240804,CMP0013,Toronto,39,New,0,0,0,,
L0000164,20240417,CMP0010,London,85,Account Opened,1,1,1,,
L0000165,20240109,CMP0014,Hamilton,32,New,0,0,0,,
L0000166,20240225,CMP0011,Ottawa,34,New,0,0,0,,
L0000167,20241216,CMP0016,Windsor,96,Invested,1,1,1,INV000021,20241222
L0000168,20240602,CMP0011,Mississauga,68,KYC Done,1,1,0,,
L0000169,20240625,CMP0002,Brampton,27,New,0,0,0,,
L0000170,20240619,CMP0002,London,88,KYC Done,1,1,0,,
L0000171,20241013,CMP0014,Ottawa,26,New,0,0,0,,
L0000172,20240124,CMP0001,Hamilton,24,Lost,0,0,0,,
L0000173,20240131,CMP0007,Windsor,50,Invested,1,1,1,INV000022,20240220
L0000174,20240410,CMP0001,London,72,Account Opened,1,1,1,,
L0000175,20240627,CMP0006,Toronto,27,New,0,0,0,,
L0000176,20240902,CMP0011,Toronto,77,Account Opened,1,1,1,,
L0000177,20240628,CMP0004,Vaughan,24,New,0,0,0,,
L0000178,20240610,CMP0009,Toronto,80,Qualified,1,0,0,,
L0000179,20241209,CMP0018,Ottawa,18,Lost,0,0,0,,
L0000180,20240228,CMP0002,Kitchener,51,KYC Done,1,1,0,,
L0000181,20240728,CMP0002,Markham,67,Qualified,1,0,0,,
L0000182,20240717,CMP0005,Toronto,33,New,0,0,0,,
L0000183,20240622,CMP0015,London,65,Account Opened,1,1,1,,
L0000184,20241022,CMP0008,Brampton,71,Account Opened,1,1,1,,
L0000185,20240407,CMP0012,Kitchener,68,Qualified,1,0,0,,
L0000186,20241215,CMP0001,Ottawa,45,Lost,0,0,0,,
L0000187,20240501,CMP0014,Ottawa,79,Account Opened,1,1,1,,
L0000188,20240718,CMP0002,Toronto,75,Invested,1,1,1,INV000023,20240802
L0000189,20240709,CMP0013,Mississauga,39,New,0,0,0,,
L0000190,20241107,CMP0003,Brampton,76,Qualified,1,0,0,,
L0000191,20240609,CMP0016,London,92,Qualified,1,0,0,,
L0000192,20240414,CMP0006,Ottawa,83,KYC Done,1,1,0,,
L0000193,20240108,CMP0004,Vaughan,75,Account Opened,1,1,1,,
L0000194,20240513,CMP0007,Toronto,78,Lost,1,1,1,,
L0000195,20241029,CMP0001,Mississauga,82,KYC Done,1,1,0,,
L0000196,20240104,CMP0003,Hamilton,36,New,0,0,0,,
L0000197,20241123,CMP0011,Hamilton,74,Account Opened,1,1,1,,
L0000198,20240717,CMP0006,Ottawa,27,New,0,0,0,,
L0000199,20240221,CMP0007,Brampton,42,Lost,0,0,0,,
L0000200,20240420,CMP0015,Toronto,94,Account Opened,1,1,1,,
L0000201,20240721,CMP0003,London,35,New,0,0,0,,
L0000202,20240425,CMP0008,Kitchener,85,Qualified,1,0,0,,
L0000203,20240209,CMP0004,Markham,48,New,0,0,0,,
L0000204,20240831,CMP0009,London,28,New,0,0,0,,
L0000205,20240903,CMP0006,Hamilton,18,New,0,0,0,,
L0000206,20240213,CMP0001,Markham,59,KYC Done,1,1,0,,
L0000207,20240412,CMP0002,Markham,50,New,0,0,0,,
L0000208,20240330,CMP0016,Toronto,56,KYC Done,1,1,0,,
L0000209,20240829,CMP0002,Brampton,13,New,0,0,0,,
L0000210,20240924,CMP0015,Vaughan,34,New,0,0,0,,
L0000211,20240923,CMP0017,Vaughan,10,New,0,0,0,,
L0000212,20241209,CMP0009,London,37,New,0,0,0,,
L0000213,20241008,CMP0006,Mississauga,93,Invested,1,1,1,INV000024,20241021
L0000214,20240427,CMP0014,Markham,23,New,0,0,0,,
L0000215,20240209,CMP0018,Mississauga,72,Account Opened,1,1,1,,
L0000216,20240812,CMP0003,Mississauga,10,New,0,0,0,,
L0000217,20241201,CMP0018,Ottawa,60,Qualified,1,0,0,,
L0000218,20241222,CMP0017,Ottawa,92,KYC Done,1,1,0,,
L0000219,20240325,CMP0003,Brampton,40,New,0,0,0,,
L0000220,20240327,CMP0001,Hamilton,27,Lost,0,0,0,,
L0000221,20240114,CMP0013,London,61,Account Opened,1,1,1,,
L0000222,20240221,CMP0002,Toronto,35,New,0,0,0,,
L0000223,20240722,CMP0011,Mississauga,90,Lost,1,0,0,,
L0000224,20240719,CMP0002,London,86,Account Opened,1,1,1,,
L0000225,20240515,CMP0013,Kitchener,68,Account Opened,1,1,1,,
L0000226,20240423,CMP0005,Vaughan,67,Invested,1,1,1,INV000025,20240519
L0000227,20241030,CMP0002,Toronto,64,Invested,1,1,1,INV000026,20241211
L0000228,20240617,CMP0002,Ottawa,76,Qualified,1,0,0,,
L0000229,20241022,CMP0004,Markham,51,Qualified,1,0,0,,
L0000230,20241218,CMP0010,Mississauga,97,Invested,1,1,1,INV000027,20241220
L0000231,20240426,CMP0002,Hamilton,41,New,0,0,0,,
L0000232,20240315,CMP0015,Brampton,10,New,0,0,0,,
L0000233,20241214,CMP0011,Hamilton,72,Invested,1,1,1,INV000028,20241231
L0000234,20240820,CMP0006,Toronto,69,KYC Done,1,1,0,,
L0000235,20240416,CMP0018,Mississauga,98,Qualified,1,0,0,,
L0000236,20240815,CMP0012,Mississauga,45,New,0,0,0,,
L0000237,20240707,CMP0013,Brampton,48,New,0,0,0,,
L0000238,20241127,CMP0004,Toronto,60,Invested,1,1,1,INV000029,20241214
L0000239,20240403,CMP0013,Brampton,45,KYC Done,1,1,0,,
L0000240,20241228,CMP0011,Ottawa,80,Invested,1,1,1,INV000030,20241231
L0000241,20241208,CMP0018,Toronto,48,KYC Done,1,1,0,,
L0000242,20240307,CMP0009,Mississauga,80,KYC Done,1,1,0,,
L0000243,20240301,CMP0013,Toronto,48,New,0,0,0,,
L0000244,20240714,CMP0007,Windsor,30,New,0,0,0,,
L0000245,20240117,CMP0001,Toronto,99,KYC Done,1,1,0,,
L0000246,20240419,CMP0003,Hamilton,57,Account Opened,1,1,1,,
L0000247,20240608,CMP0016,Brampton,73,KYC Done,1,1,0,,
L0000248,20241220,CMP0014,Mississauga,63,Invested,1,1,1,INV000031,20241230
L0000249,20241229,CMP0007,Vaughan,42,New,0,0,0,,
L0000250,20240225,CMP0013,Hamilton,97,Invested,1,1,1,INV000032,20240309
L0000251,20241122,CMP0001,Hamilton,43,New,0,0,0,,
L0000252,20240203,CMP0001,Toronto,99,KYC Done,1,1,0,,
L0000253,20240930,CMP0010,Mississauga,48,Invested,1,1,1,INV000033,20241013
L0000254,20241105,CMP0012,Mississauga,12,New,0,0,0,,
L0000255,20241122,CMP0017,Brampton,13,New,0,0,0,,
L0000256,20240322,CMP0014,Kitchener,97,Account Opened,1,1,1,,
L0000257,20241123,CMP0005,Brampton,57,Qualified,1,0,0,,
L0000258,20240212,CMP0015,Mississauga,44,New,0,0,0,,
L0000259,20240708,CMP0009,Toronto,83,Invested,1,1,1,INV000034,20240730
L0000260,20240620,CMP0015,Brampton,65,Account Opened,1,1,1,,
L0000261,20240425,CMP0004,Toronto,69,Account Opened,1,1,1,,
L0000262,20240109,CMP0001,Brampton,71,Account Opened,1,1,1,,
L0000263,20241009,CMP0002,Windsor,27,New,0,0,0,,
L0000264,20240502,CMP0018,Ottawa,17,New,0,0,0,,
L0000265,20240830,CMP0002,Toronto,75,Account Opened,1,1,1,,
L0000266,20240530,CMP0017,Mississauga,11,New,0,0,0,,
L0000267,20240516,CMP0014,Ottawa,74,KYC Done,1,1,0,,
L0000268,20241120,CMP0003,Toronto,21,Lost,0,0,0,,
L0000269,20240204,CMP0016,Vaughan,33,New,0,0,0,,
L0000270,20240926,CMP0003,Ottawa,73,Invested,1,1,1,INV000035,20241008
L0000271,20240930,CMP0003,Ottawa,66,Invested,1,1,1,INV000036,20241028
L0000272,20240519,CMP0011,London,80,Account Opened,1,1,1,,
L0000273,20240406,CMP0006,Toronto,64,Invested,1,1,1,INV000037,20240510
L0000274,20240102,CMP0006,Toronto,14,Lost,0,0,0,,
L0000275,20241208,CMP0004,Hamilton,85,Account Opened,1,1,1,,
L0000276,20241212,CMP0011,Toronto,29,New,0,0,0,,
L0000277,20240329,CMP0001,Toronto,22,Lost,0,0,0,,
L0000278,20240112,CMP0005,Kitchener,89,KYC Done,1,1,0,,
L0000279,20240214,CMP0010,Markham,27,New,0,0,0,,
L0000280,20240125,CMP0009,Toronto,58,KYC Done,1,1,0,,
L0000281,20241031,CMP0013,Vaughan,53,Account Opened,1,1,1,,
L0000282,20241122,CMP0004,Toronto,79,Account Opened,1,1,1,,
L0000283,20240226,CMP0012,Markham,13,New,0,0,0,,
L0000284,20240930,CMP0014,Brampton,19,New,0,0,0,,
L0000285,20240306,CMP0007,Ottawa,47,KYC Done,1,1,0,,
L0000286,20240514,CMP0005,Hamilton,52,Account Opened,1,1,1,,
L0000287,20240807,CMP0010,Toronto,80,Account Opened,1,1,1,,
L0000288,20240920,CMP0011,Kitchener,64,Lost,1,0,0,,
L0000289,20241116,CMP0002,Toronto,23,New,0,0,0,,
L0000290,20240117,CMP0011,Kitchener,98,Lost,1,0,0,,
L0000291,20240312,CMP0003,Toronto,51,Qualified,1,0,0,,
L0000292,20240412,CMP0011,Toronto,96,Account Opened,1,1,1,,
L0000293,20240423,CMP0017,Toronto,99,Account Opened,1,1,1,,
L0000294,20241231,CMP0010,Brampton,14,New,0,0,0,,
L0000295,20241011,CMP0014,Hamilton,55,Lost,1,0,0,,
L0000296,20240427,CMP0006,Hamilton,47,New,0,0,0,,
L0000297,20241221,CMP0017,Markham,54,New,0,0,0,,
L0000298,20240701,CMP0015,Ottawa,37,New,0,0,0,,
L0000299,20240702,CMP0017,Ottawa,60,Account Opened,1,1,1,,
L0000300,20240607,CMP0014,Mississauga,54,Account Opened,1,1,1,,
L0000301,20240222,CMP0012,Hamilton,26,New,0,0,0,,
L0000302,20241207,CMP0010,Kitchener,35,New,0,0,0,,
L0000303,20240106,CMP0017,Brampton,23,New,0,0,0,,
L0000304,20240304,CMP0016,Brampton,85,Account Opened,1,1,1,,
L0000305,20240325,CMP0008,Brampton,70,Qualified,1,0,0,,
L0000306,20240412,CMP0002,Mississauga,44,New,0,0,0,,
L0000307,20240218,CMP0001,Ottawa,45,New,0,0,0,,
L0000308,20240107,CMP0005,Toronto,17,New,0,0,0,,
L0000309,20240905,CMP0002,Markham,36,New,0,0,0,,
L0000310,20241220,CMP0004,Toronto,93,Invested,1,1,1,INV000038,20241231
L0000311,20240214,CMP0002,Toronto,12,New,0,0,0,,
L0000312,20240418,CMP0018,Toronto,23,New,0,0,0,,
L0000313,20240704,CMP0002,Brampton,86,Qualified,1,0,0,,
L0000314,20241205,CMP0012,London,56,Account Opened,1,1,1,,
L0000315,20240911,CMP0007,Kitchener,12,New,0,0,0,,
L0000316,20241007,CMP0004,Brampton,54,New,0,0,0,,
L0000317,20240731,CMP0013,Mississauga,77,Qualified,1,0,0,,
L0000318,20240601,CMP0018,London,41,New,0,0,0,,
L0000319,20240314,CMP0015,London,44,New,0,0,0,,
L0000320,20241112,CMP0018,London,66,Invested,1,1,1,INV000039,20241211
L0000321,20241021,CMP0011,Ottawa,63,Account Opened,1,1,1,,
L0000322,20240110,CMP0013,Ottawa,91,Invested,1,1,1,INV000040,20240208
L0000323,20240918,CMP0003,Toronto,32,New,0,0,0,,
L0000324,20240131,CMP0016,Mississauga,34,New,0,0,0,,
L0000325,20240927,CMP0014,Kitchener,23,New,0,0,0,,
L0000326,20241029,CMP0005,Toronto,69,KYC Done,1,1,0,,
L0000327,20240217,CMP0007,Mississauga,58,Lost,0,0,0,,
L0000328,20240607,CMP0011,Mississauga,41,New,0,0,0,,
L0000329,20240215,CMP0001,Toronto,72,Account Opened,1,1,1,,
L0000330,20240726,CMP0015,Kitchener,43,New,0,0,0,,
L0000331,20241205,CMP0006,Toronto,27,New,0,0,0,,
L0000332,20240130,CMP0002,Ottawa,58,Invested,1,1,1,INV000041,20240223
L0000333,20240525,CMP0006,Markham,49,KYC Done,1,1,0,,
L0000334,20241222,CMP0016,Toronto,46,New,0,0,0,,
L0000335,20240420,CMP0005,Toronto,50,New,0,0,0,,
L0000336,20240218,CMP0010,Brampton,92,Lost,1,1,0,,
L0000337,20240627,CMP0015,Toronto,29,Lost,0,0,0,,
L0000338,20240705,CMP0001,Toronto,34,New,0,0,0,,
L0000339,20240830,CMP0014,Hamilton,60,Invested,1,1,1,INV000042,20240922
L0000340,20240424,CMP0006,Toronto,14,New,0,0,0,,
L0000341,20241215,CMP0013,Hamilton,23,New,0,0,0,,
L0000342,20240709,CMP0004,Kitchener,60,Lost,1,1,0,,
L0000343,20240414,CMP0003,Mississauga,55,Invested,1,1,1,INV000043,20240514
L0000344,20241217,CMP0015,Toronto,68,Invested,1,1,1,INV000044,20241231
L0000345,20241204,CMP0015,Toronto,20,Lost,0,0,0,,
L0000346,20240701,CMP0018,Toronto,86,Account Opened,1,1,1,,
L0000347,20240110,CMP0013,Brampton,53,New,0,0,0,,
L0000348,20240806,CMP0009,Ottawa,23,New,0,0,0,,
L0000349,20240722,CMP0004,Toronto,38,New,0,0,0,,
L0000350,20240224,CMP0006,Mississauga,30,New,0,0,0,,
L0000351,20240820,CMP0012,Toronto,50,New,0,0,0,,
L0000352,20241103,CMP0007,London,52,KYC Done,1,1,0,,
L0000353,20240208,CMP0009,Brampton,49,Lost,0,0,0,,
L0000354,20240921,CMP0004,London,51,New,0,0,0,,
L0000355,20240221,CMP0008,Ottawa,91,Account Opened,1,1,1,,
L0000356,20241001,CMP0005,Brampton,96,Account Opened,1,1,1,,
L0000357,20240602,CMP0003,Hamilton,54,New,0,0,0,,
L0000358,20240103,CMP0003,Toronto,96,Lost,1,0,0,,
L0000359,20241219,CMP0010,London,83,Lost,1,0,0,,
L0000360,20240301,CMP0007,Brampton,83,Qualified,1,0,0,,
L0000361,20240806,CMP0002,Ottawa,30,New,0,0,0,,
L0000362,20240307,CMP0010,Ottawa,49,New,0,0,0,,
L0000363,20241207,CMP0003,Ottawa,41,Lost,0,0,0,,
L0000364,20240927,CMP0001,London,18,New,0,0,0,,
L0000365,20241021,CMP0003,Toronto,16,New,0,0,0,,
L0000366,20240607,CMP0009,Ottawa,66,Account Opened,1,1,1,,
L0000367,20240620,CMP0018,Toronto,47,New,0,0,0,,
L0000368,20240820,CMP0005,Mississauga,84,Account Opened,1,1,1,,
L0000369,20241014,CMP0006,Toronto,70,Invested,1,1,1,INV000045,20241127
L0000370,20241105,CMP0005,Hamilton,17,New,0,0,0,,
L0000371,20240107,CMP0007,Hamilton,85,Invested,1,1,1,INV000046,20240203
L0000372,20240830,CMP0013,Markham,54,Account Opened,1,1,1,,
L0000373,20240209,CMP0006,Ottawa,60,KYC Done,1,1,0,,
L0000374,20240415,CMP0012,London,96,Qualified,1,0,0,,
L0000375,20241030,CMP0017,Vaughan,67,Qualified,1,0,0,,
L0000376,20240401,CMP0018,Toronto,12,New,0,0,0,,
L0000377,20241018,CMP0011,London,25,New,0,0,0,,
L0000378,20240618,CMP0013,Mississauga,48,New,0,0,0,,
L0000379,20240326,CMP0017,Mississauga,13,New,0,0,0,,
L0000380,20240502,CMP0015,Windsor,25,Lost,0,0,0,,
L0000381,20240713,CMP0006,Toronto,81,KYC Done,1,1,0,,
L0000382,20241007,CMP0003,Kitchener,22,New,0,0,0,,
L0000383,20240809,CMP0003,Markham,25,New,0,0,0,,
L0000384,20241207,CMP0016,Vaughan,55,KYC Done,1,1,0,,
L0000385,20241113,CMP0011,Hamilton,18,New,0,0,0,,
L0000386,20241002,CMP0006,Hamilton,33,New,0,0,0,,
L0000387,20240808,CMP0007,Brampton,94,Qualified,1,0,0,,
L0000388,20240416,CMP0006,Brampton,66,Invested,1,1,1,INV000047,20240426
L0000389,20240531,CMP0015,Vaughan,96,Invested,1,1,1,INV000048,20240702
L0000390,20240213,CMP0012,Brampton,41,New,0,0,0,,
L0000391,20240516,CMP0016,Ottawa,65,KYC Done,1,1,0,,
L0000392,20241205,CMP0006,Windsor,31,Lost,0,0,0,,
L0000393,20240604,CMP0009,Brampton,44,New,0,0,0,,
L0000394,20240211,CMP0003,Markham,25,New,0,0,0,,
L0000395,20240826,CMP0018,Mississauga,84,Qualified,1,0,0,,
L0000396,20241218,CMP0010,Toronto,26,New,0,0,0,,
L0000397,20241113,CMP0010,Hamilton,28,New,0,0,0,,
L0000398,20240410,CMP0008,Ottawa,51,New,0,0,0,,
L0000399,20240615,CMP0005,Markham,48,New,0,0,0,,
