TransactionID,TransactionDateKey,InvestorID,SchemeID,Amount,TxnType,InvestmentMode,IsFirstInvestmentFlag
T000000027,20241220,INV000027,SCH0007,73992.0,Purchase,LumpSum,1
T000000028,20241231,INV000028,SCH0003,1040.0,Purchase,SIP,1
T000000029,20241214,INV000029,SCH0003,2456.0,Purchase,SIP,1
T000000030,20241231,INV000030,SCH0001,24529.0,Purchase,LumpSum,1
T000000031,20241230,INV000031,SCH0011,501.0,Purchase,SIP,1
T000000032,20240309,INV000032,SCH0002,58166.0,Purchase,LumpSum,1
T000000033,20241013,INV000033,SCH0003,32036.0,Purchase,LumpSum,1
T000000034,20240730,INV000034,SCH0003,1868.0,Purchase,SIP,1
T000000035,20241008,INV000035,SCH0006,591.0,Purchase,SIP,1
T000000036,20241028,INV000036,SCH0010,17124.0,Purchase,LumpSum,1
T000000037,20240510,INV000037,SCH0006,1070.0,Purchase,SIP,1
T000000038,20241231,INV000038,SCH0008,652.0,Purchase,SIP,1
T000000039,20241211,INV000039,SCH0002,1805.0,Purchase,SIP,1
T000000040,20240208,INV000040,SCH0001,11881.0,Purchase,LumpSum,1
T000000041,20240223,INV000041,SCH0007,1302.0,Purchase,SIP,1
T000000042,20240922,INV000042,SCH0001,1101.0,Purchase,SIP,1
T000000043,20240514,INV000043,SCH0008,23518.0,Purchase,LumpSum,1
T000000044,20241231,INV000044,SCH0002,2328.0,Purchase,SIP,1
T000000045,20241127,INV000045,SCH0006,1234.0,Purchase,SIP,1
T000000046,20240203,INV000046,SCH0011,785.0,Purchase,SIP,1
T000000047,20240426,INV000047,SCH0008,34860.0,Purchase,LumpSum,1
T000000048,20240702,INV000048,SCH0005,1577.0,Purchase,SIP,1
T000000049,20241227,INV000049,SCH0003,10956.0,Purchase,LumpSum,1
T000000050,20241121,INV000050,SCH0008,1815.0,Purchase,SIP,1
T000000051,20240302,INV000051,SCH0007,508.0,Purchase,SIP,1
T000000052,20241027,INV000052,SCH0009,69648.0,Purchase,LumpSum,1
T000000053,20241120,INV000053,SCH0009,993.0,Purchase,SIP,1
T000000054,20241205,INV000054,SCH0006,2248.0,Purchase,SIP,1
T000000055,20240315,INV000055,SCH0002,2081.0,Purchase,SIP,1
T000000056,20241104,INV000056,SCH0002,40983.0,Purchase,LumpSum,1
T000000057,20241231,INV000057,SCH0003,1956.0,Purchase,SIP,1
T000000058,20240229,INV000058,SCH0001,25471.0,Purchase,LumpSum,1
T000000059,20241128,INV000059,SCH0008,42721.0,Purchase,LumpSum,1
T000000060,20240601,INV000060,SCH0010,626.0,Purchase,SIP,1
T000000061,20241219,INV000061,SCH0005,62909.0,Purchase,LumpSum,1
T000000062,20241113,INV000062,SCH0006,34998.0,Purchase,LumpSum,1
T000000063,20240515,INV000063,SCH0008,30908.0,Purchase,LumpSum,1
T000000064,20241231,INV000064,SCH0012,689.0,Purchase,SIP,1
T000000065,20240905,INV000065,SCH0002,46867.0,Purchase,LumpSum,1
T000000066,20240322,INV000066,SCH0010,43841.0,Purchase,LumpSum,1
T000000067,20240820,INV000067,SCH0008,1460.0,Purchase,SIP,1
T000000068,20240404,INV000068,SCH0003,59013.0,Purchase,LumpSum,1
T000000069,20241025,INV000069,SCH0003,40880.0,Purchase,LumpSum,1
T000000070,20240720,INV000070,SCH0001,73650.0,Purchase,LumpSum,1
T000000071,20241224,INV000071,SCH0007,1440.0,Purchase,SIP,1
T000000072,20240503,INV000072,SCH0009,45198.0,Purchase,LumpSum,1
T000000073,20240207,INV000073,SCH0005,56911.0,Purchase,LumpSum,1
T000000074,20240427,INV000074,SCH0006,670.0,Purchase,SIP,1
T000000075,20240831,INV000075,SCH0004,6611.0,Purchase,LumpSum,1
T000000076,20240703,INV000076,SCH0003,6339.0,Purchase,LumpSum,1
T000000077,20240908,INV000077,SCH0004,1779.0,Purchase,SIP,1
T000000078,20241112,INV000078,SCH0005,723.0,Purchase,SIP,1
T000000079,20240730,INV000079,SCH0010,14711.0,Purchase,LumpSum,1
T000000080,20241101,INV000080,SCH0001,2054.0,Purchase,SIP,1
T000000081,20241015,INV000081,SCH0012,49274.0,Purchase,LumpSum,1
T000000082,20240305,INV000082,SCH0012,2025.0,Purchase,SIP,1
T000000083,20240321,INV000083,SCH0004,2471.0,Purchase,SIP,1
T000000084,20241009,INV000084,SCH0008,912.0,Purchase,SIP,1
T000000085,20241209,INV000085,SCH0007,60961.0,Purchase,LumpSum,1
T000000086,20240209,INV000086,SCH0004,1972.0,Purchase,SIP,1
T000000087,20240819,INV000087,SCH0005,2014.0,Purchase,SIP,1
T000000088,20240228,INV000088,SCH0004,23035.0,Purchase,LumpSum,1
T000000089,20241218,INV000089,SCH0009,69674.0,Purchase,LumpSum,1
T000000090,20240201,INV000090,SCH0010,2225.0,Purchase,SIP,1
T000000091,20241231,INV000091,SCH0007,45570.0,Purchase,LumpSum,1
T000000092,20240225,INV000092,SCH0001,39031.0,Purchase,LumpSum,1
T000000093,20241028,INV000093,SCH0001,1952.0,Purchase,SIP,1
T000000094,20240930,INV000094,SCH0001,29602.0,Purchase,LumpSum,1
T000000095,20240805,INV000095,SCH0009,1403.0,Purchase,SIP,1
T000000096,20240210,INV000096,SCH0010,2114.0,Purchase,SIP,1
T000000097,20241118,INV000097,SCH0011,64982.0,Purchase,LumpSum,1
T000000098,20240304,INV000098,SCH0003,14748.0,Purchase,LumpSum,1
T000000099,20240409,INV000099,SCH0010,2135.0,Purchase,SIP,1
T000000100,20241013,INV000100,SCH0010,1782.0,Purchase,SIP,1
T000000101,20240910,INV000101,SCH0008,1516.0,Purchase,SIP,1
T000000102,20241121,INV000102,SCH0003,1947.0,Purchase,SIP,1
T000000103,20240725,INV000103,SCH0007,1099.0,Purchase,SIP,1
T000000104,20240716,INV000104,SCH0004,36210.0,Purchase,LumpSum,1
T000000105,20240705,INV000105,SCH0005,2481.0,Purchase,SIP,1
T000000106,20241219,INV000106,SCH0012,63857.0,Purchase,LumpSum,1
T000000107,20240604,INV000107,SCH0006,1845.0,Purchase,SIP,1
T000000108,20240624,INV000108,SCH0007,58347.0,Purchase,LumpSum,1
T000000109,20240211,INV000109,SCH0002,2463.0,Purchase,SIP,1
T000000110,20240831,INV000110,SCH0011,28933.0,Purchase,LumpSum,1
T000000111,20241005,INV000111,SCH0001,55166.0,Purchase,LumpSum,1
T000000112,20240920,INV000112,SCH0005,1087.0,Purchase,SIP,1
T000000113,20240808,INV000113,SCH0003,1001.0,Purchase,SIP,1
T000000114,20240808,INV000114,SCH0002,785.0,Purchase,SIP,1
T000000115,20240523,INV000115,SCH0004,8374.0,Purchase,LumpSum,1
T000000116,20241205,INV000116,SCH0009,1169.0,Purchase,SIP,1
T000000117,20240430,INV000117,SCH0002,1875.0,Purchase,SIP,1
T000000118,20240602,INV000118,SCH0003,29935.0,Purchase,LumpSum,1
T000000119,20241110,INV000119,SCH0011,8810.0,Purchase,LumpSum,1
T000000120,20241006,INV000120,SCH0004,20120.0,Purchase,LumpSum,1
T000000121,20241217,INV000121,SCH0008,33441.0,Purchase,LumpSum,1
T000000122,20241231,INV000122,SCH0003,875.0,Purchase,SIP,1
T000000123,20240624,INV000123,SCH0002,65768.0,Purchase,LumpSum,1
T000000124,20240511,INV000124,SCH0003,1134.0,Purchase,SIP,1
T000000125,20240512,INV000125,SCH0005,35121.0,Purchase,LumpSum,1
T000000126,20240919,INV000126,SCH0003,56187.0,Purchase,LumpSum,1
T000000127,20241105,INV000127,SCH0001,1088.0,Purchase,SIP,1
T000000128,20240824,INV000128,SCH0006,18734.0,Purchase,LumpSum,1
T000000129,20240722,INV000129,SCH0012,1027.0,Purchase,SIP,1
T000000130,20240609,INV000130,SCH0010,1635.0,Purchase,SIP,1
T000000131,20240806,INV000131,SCH0003,1890.0,Purchase,SIP,1
T000000132,20241116,INV000132,SCH0010,71222.0,Purchase,LumpSum,1
T000000133,20240718,INV000133,SCH0009,1219.0,Purchase,SIP,1
T000000134,20240621,INV000134,SCH0001,20965.0,Purchase,LumpSum,1
T000000135,20240130,INV000135,SCH0001,70577.0,Purchase,LumpSum,1
T000000136,20240618,INV000136,SCH0010,13473.0,Purchase,LumpSum,1
T000000137,20241231,INV000137,SCH0002,1470.0,Purchase,SIP,1
T000000138,20241219,INV000138,SCH0004,38124.0,Purchase,LumpSum,1
T000000139,20240814,INV000139,SCH0005,27027.0,Purchase,LumpSum,1
T000000140,20241127,INV000140,SCH0002,32825.0,Purchase,LumpSum,1
T000000141,20240525,INV000141,SCH0007,1757.0,Purchase,SIP,1
T000000142,20240105,INV000142,SCH0004,802.0,Purchase,SIP,1
T000000143,20240204,INV000143,SCH0008,58601.0,Purchase,LumpSum,1
T000000144,20241202,INV000144,SCH0002,23575.0,Purchase,LumpSum,1
T000000145,20240204,INV000145,SCH0002,1170.0,Purchase,SIP,1
T000000146,20240930,INV000146,SCH0010,52886.0,Purchase,LumpSum,1
T000000147,20240525,INV000147,SCH0006,63891.0,Purchase,LumpSum,1
T000000148,20240925,INV000148,SCH0006,14229.0,Purchase,LumpSum,1
T000000149,20240419,INV000149,SCH0008,8945.0,Purchase,LumpSum,1
T000000150,20240721,INV000150,SCH0003,650.0,Purchase,SIP,1
T000000151,20241207,INV000151,SCH0001,29302.0,Purchase,LumpSum,1
T000000152,20241231,INV000152,SCH0006,39745.0,Purchase,LumpSum,1
T000000153,20240809,INV000153,SCH0009,41229.0,Purchase,LumpSum,1
T000000154,20240915,INV000154,SCH0008,2156.0,Purchase,SIP,1
T000000155,20240203,INV000155,SCH0001,34074.0,Purchase,LumpSum,1
T000000156,20240902,INV000156,SCH0003,1197.0,Purchase,SIP,1
T000000157,20240502,INV000157,SCH0008,2343.0,Purchase,SIP,1
T000000158,20240516,INV000158,SCH0006,17500.0,Purchase,LumpSum,1
T000000159,20240421,INV000159,SCH0010,2200.0,Purchase,SIP,1
T000000160,20241111,INV000160,SCH0011,568.0,Purchase,SIP,1
T000000161,20240219,INV000161,SCH0001,1052.0,Purchase,SIP,1
T000000162,20240927,INV000162,SCH0004,2152.0,Purchase,SIP,1
T000000163,20240623,INV000163,SCH0001,5882.0,Purchase,LumpSum,1
T000000164,20240125,INV000164,SCH0009,59086.0,Purchase,LumpSum,1
T000000165,20240502,INV000165,SCH0008,2071.0,Purchase,SIP,1
T000000166,20241202,INV000166,SCH0011,2335.0,Purchase,SIP,1
T000000167,20240805,INV000167,SCH0011,1406.0,Purchase,SIP,1
T000000168,20240518,INV000168,SCH0003,73167.0,Purchase,LumpSum,1
T000000169,20241231,INV000169,SCH0004,41376.0,Purchase,LumpSum,1
T000000170,20240126,INV000170,SCH0011,34864.0,Purchase,LumpSum,1
T000000171,20240218,INV000171,SCH0010,19854.0,Purchase,LumpSum,1
T000000172,20240608,INV000172,SCH0008,1491.0,Purchase,SIP,1
T000000173,20240314,INV000173,SCH0002,43901.0,Purchase,LumpSum,1
T000000174,20240202,INV000174,SCH0006,15654.0,Purchase,LumpSum,1
T000000175,20240227,INV000175,SCH0004,986.0,Purchase,SIP,1
T000000176,20241021,INV000176,SCH0010,43962.0,Purchase,LumpSum,1
T000000177,20240113,INV000177,SCH0005,726.0,Purchase,SIP,1
T000000178,20240409,INV000178,SCH0006,1919.0,Purchase,SIP,1
T000000179,20241231,INV000179,SCH0002,6562.0,Purchase,LumpSum,1
T000000180,20241027,INV000180,SCH0006,2271.0,Purchase,SIP,1
T000000181,20240720,INV000181,SCH0005,1695.0,Purchase,SIP,1
T000000182,20240604,INV000182,SCH0001,1092.0,Purchase,SIP,1
T000000183,20240207,INV000183,SCH0001,59578.0,Purchase,LumpSum,1
T000000184,20240928,INV000184,SCH0006,67950.0,Purchase,LumpSum,1
T000000185,20240928,INV000185,SCH0003,73379.0,Purchase,LumpSum,1
T000000186,20240927,INV000186,SCH0004,1193.0,Purchase,SIP,1
T000000187,20240919,INV000187,SCH0001,60545.0,Purchase,LumpSum,1
T000000188,20241119,INV000188,SCH0010,28634.0,Purchase,LumpSum,1
T000000189,20240519,INV000189,SCH0010,1682.0,Purchase,SIP,1
T000000190,20240711,INV000190,SCH0009,2220.0,Purchase,SIP,1
T000000191,20240418,INV000191,SCH0003,540.0,Purchase,SIP,1
T000000192,20240710,INV000192,SCH0002,66323.0,Purchase,LumpSum,1
T000000193,20241224,INV000193,SCH0011,44123.0,Purchase,LumpSum,1
T000000194,20241229,INV000194,SCH0010,46229.0,Purchase,LumpSum,1
T000000195,20240714,INV000195,SCH0001,2112.0,Purchase,SIP,1
T000000196,20241001,INV000196,SCH0004,2081.0,Purchase,SIP,1
T000000197,20241215,INV000197,SCH0006,66979.0,Purchase,LumpSum,1
T000000198,20241126,INV000198,SCH0004,6984.0,Purchase,LumpSum,1
T000000199,20240302,INV000199,SCH0005,10020.0,Purchase,LumpSum,1
T000000200,20240121,INV000200,SCH0005,53554.0,Purchase,LumpSum,1
T000000201,20240912,INV000201,SCH0010,30261.0,Purchase,LumpSum,1
T000000202,20240613,INV000202,SCH0010,1369.0,Purchase,SIP,1
T000000203,20240902,INV000203,SCH0006,1775.0,Purchase,SIP,1
T000000204,20240202,INV000204,SCH0008,577.0,Purchase,SIP,1
T000000205,20241015,INV000205,SCH0004,2037.0,Purchase,SIP,1
T000000206,20240520,INV000206,SCH0007,15743.0,Purchase,LumpSum,1
T000000207,20240422,INV000207,SCH0012,1951.0,Purchase,SIP,1
T000000208,20240311,INV000208,SCH0012,1809.0,Purchase,SIP,1
T000000209,20240406,INV000209,SCH0008,1215.0,Purchase,SIP,1
T000000210,20241009,INV000210,SCH0012,2368.0,Purchase,SIP,1
T000000211,20241231,INV000211,SCH0008,521.0,Purchase,SIP,1
T000000212,20240319,INV000212,SCH0001,2482.0,Purchase,SIP,1
T000000213,20241225,INV000213,SCH0001,2265.0,Purchase,SIP,1
T000000214,20240404,INV000214,SCH0005,66578.0,Purchase,LumpSum,1
T000000215,20240519,INV000215,SCH0011,2322.0,Purchase,SIP,1
T000000216,20241028,INV000216,SCH0005,25918.0,Purchase,LumpSum,1
T000000217,20240923,INV000217,SCH0001,13411.0,Purchase,LumpSum,1
T000000218,20240318,INV000218,SCH0001,741.0,Purchase,SIP,1
T000000219,20240420,INV000219,SCH0001,18646.0,Purchase,LumpSum,1
T000000220,20241203,INV000220,SCH0002,1295.0,Purchase,SIP,1
T000000221,20240907,INV000221,SCH0005,22932.0,Purchase,LumpSum,1
T000000222,20241103,INV000222,SCH0008,1357.0,Purchase,SIP,1
T000000223,20240504,INV000223,SCH0001,1521.0,Purchase,SIP,1
T000000224,20240522,INV000224,SCH0011,35730.0,Purchase,LumpSum,1
T000000225,20240218,INV000225,SCH0010,9531.0,Purchase,LumpSum,1
T000000226,20241231,INV000226,SCH0010,20004.0,Purchase,LumpSum,1
T000000227,20240508,INV000227,SCH0001,2466.0,Purchase,SIP,1
T000000228,20240527,INV000228,SCH0012,1126.0,Purchase,SIP,1
T000000229,20241228,INV000229,SCH0004,1864.0,Purchase,SIP,1
T000000230,20240310,INV000230,SCH0012,863.0,Purchase,SIP,1
T000000231,20241112,INV000231,SCH0003,44260.0,Purchase,LumpSum,1
T000000232,20240125,INV000232,SCH0003,30086.0,Purchase,LumpSum,1
T000000233,20240908,INV000233,SCH0012,1083.0,Purchase,SIP,1
T000000234,20240912,INV000234,SCH0011,19925.0,Purchase,LumpSum,1
T000000235,20240805,INV000235,SCH0003,12967.0,Purchase,LumpSum,1
T000000236,20240603,INV000236,SCH0008,1953.0,Purchase,SIP,1
T000000237,20241222,INV000237,SCH0010,18674.0,Purchase,LumpSum,1
T000000238,20240319,INV000238,SCH0008,1137.0,Purchase,SIP,1
T000000239,20240610,INV000239,SCH0004,1200.0,Purchase,SIP,1
T000000240,20240223,INV000240,SCH0012,851.0,Purchase,SIP,1
T000000241,20241230,INV000241,SCH0004,1465.0,Purchase,SIP,1
T000000242,20241008,INV000242,SCH0008,33821.0,Purchase,LumpSum,1
T000000243,20241231,INV000243,SCH0001,61715.0,Purchase,LumpSum,1
T000000244,20240720,INV000244,SCH0012,60840.0,Purchase,LumpSum,1
T000000245,20240728,INV000245,SCH0005,14015.0,Purchase,LumpSum,1
T000000246,20240605,INV000246,SCH0009,1903.0,Purchase,SIP,1
T000000247,20241121,INV000247,SCH0010,65921.0,Purchase,LumpSum,1
T000000248,20241219,INV000248,SCH0004,23205.0,Purchase,LumpSum,1
T000000249,20240513,INV000249,SCH0004,55114.0,Purchase,LumpSum,1
T000000250,20241118,INV000250,SCH0003,2372.0,Purchase,SIP,1
T000000251,20241220,INV000251,SCH0004,2217.0,Purchase,SIP,1
T000000252,20240130,INV000252,SCH0010,17369.0,Purchase,LumpSum,1
T000000253,20240725,INV000253,SCH0004,61167.0,Purchase,LumpSum,1
T000000254,20240825,INV000254,SCH0001,1258.0,Purchase,SIP,1
T000000255,20240404,INV000255,SCH0006,23148.0,Purchase,LumpSum,1
T000000256,20240617,INV000256,SCH0001,57171.0,Purchase,LumpSum,1
T000000257,20240226,INV000257,SCH0001,72168.0,Purchase,LumpSum,1
T000000258,20240331,INV000258,SCH0007,2304.0,Purchase,SIP,1
T000000259,20240718,INV000259,SCH0009,1478.0,Purchase,SIP,1
T000000260,20240218,INV000260,SCH0007,735.0,Purchase,SIP,1
T000000261,20240531,INV000261,SCH0006,670.0,Purchase,SIP,1
T000000262,20241226,INV000262,SCH0009,64243.0,Purchase,LumpSum,1
T000000263,20241222,INV000263,SCH0011,948.0,Purchase,SIP,1
T000000264,20240318,INV000264,SCH0008,1844.0,Purchase,SIP,1
T000000265,20241221,INV000265,SCH0011,18761.0,Purchase,LumpSum,1
T000000266,20240220,INV000266,SCH0004,1318.0,Purchase,SIP,1
T000000267,20240801,INV000267,SCH0002,54179.0,Purchase,LumpSum,1
T000000268,20241106,INV000268,SCH0001,2486.0,Purchase,SIP,1
T000000269,20240220,INV000269,SCH0003,13449.0,Purchase,LumpSum,1
T000000270,20240429,INV000270,SCH0007,1024.0,Purchase,SIP,1
T000000271,20240512,INV000271,SCH0003,10524.0,Purchase,LumpSum,1
T000000272,20240515,INV000272,SCH0007,1059.0,Purchase,SIP,1
T000000273,20241209,INV000273,SCH0007,58255.0,Purchase,LumpSum,1
T000000274,20240131,INV000274,SCH0006,617.0,Purchase,SIP,1
T000000275,20241002,INV000275,SCH0011,738.0,Purchase,SIP,1
T000000276,20240528,INV000276,SCH0004,969.0,Purchase,SIP,1
T000000277,20240703,INV000277,SCH0006,44885.0,Purchase,LumpSum,1
T000000278,20240818,INV000278,SCH0001,56177.0,Purchase,LumpSum,1
T000000279,20240527,INV000279,SCH0001,2279.0,Purchase,SIP,1
T000000280,20241103,INV000280,SCH0012,2355.0,Purchase,SIP,1
T000000281,20240904,INV000281,SCH0003,1410.0,Purchase,SIP,1
T000000282,20240704,INV000282,SCH0009,29793.0,Purchase,LumpSum,1
T000000283,20241129,INV000283,SCH0003,1210.0,Purchase,SIP,1
T000000284,20241117,INV000284,SCH0004,28455.0,Purchase,LumpSum,1
T000000285,20241124,INV000285,SCH0011,1723.0,Purchase,SIP,1
T000000286,20240214,INV000286,SCH0001,22287.0,Purchase,LumpSum,1
T000000287,20240224,INV000287,SCH0001,45849.0,Purchase,LumpSum,1
T000000288,20240607,INV000288,SCH0008,1815.0,Purchase,SIP,1
T000000289,20241031,INV000289,SCH0007,2059.0,Purchase,SIP,1
T000000290,20240530,INV000290,SCH0003,1654.0,Purchase,SIP,1
T000000291,20241231,INV000291,SCH0009,1450.0,Purchase,SIP,1
T000000292,20241231,INV000292,SCH0001,8160.0,Purchase,LumpSum,1
T000000293,20240604,INV000293,SCH0010,9872.0,Purchase,LumpSum,1
T000000294,20241104,INV000294,SCH0007,1162.0,Purchase,SIP,1
T000000295,20240825,INV000295,SCH0008,844.0,Purchase,SIP,1
T000000296,20240524,INV000296,SCH0007,1748.0,Purchase,SIP,1
T000000297,20241231,INV000297,SCH0002,1693.0,Purchase,SIP,1
T000000298,20240818,INV000298,SCH0005,38781.0,Purchase,LumpSum,1
T000000299,20241009,INV000299,SCH0005,21691.0,Purchase,LumpSum,1
T000000300,20240703,INV000300,SCH0006,29426.0,Purchase,LumpSum,1
T000000301,20240407,INV000301,SCH0001,940.0,Purchase,SIP,1
T000000302,20240212,INV000302,SCH0012,2142.0,Purchase,SIP,1
T000000303,20240202,INV000303,SCH0002,15605.0,Purchase,LumpSum,1
T000000304,20241225,INV000304,SCH0004,64701.0,Purchase,LumpSum,1
T000000305,20240731,INV000305,SCH0010,34324.0,Purchase,LumpSum,1
T000000306,20240313,INV000306,SCH0005,36244.0,Purchase,LumpSum,1
T000000307,20240323,INV000307,SCH0001,2365.0,Purchase,SIP,1
T000000308,20240822,INV000308,SCH0008,34973.0,Purchase,LumpSum,1
T000000309,20240629,INV000309,SCH0008,1846.0,Purchase,SIP,1
T000000310,20240710,INV000310,SCH0010,1396.0,Purchase,SIP,1
T000000311,20240410,INV000311,SCH0002,51017.0,Purchase,LumpSum,1
T000000312,20240303,INV000312,SCH0010,921.0,Purchase,SIP,1
T000000313,20241029,INV000313,SCH0010,2087.0,Purchase,SIP,1
T000000314,20240814,INV000314,SCH0005,789.0,Purchase,SIP,1
T000000315,20240229,INV000315,SCH0010,752.0,Purchase,SIP,1
T000000316,20240411,INV000316,SCH0007,1095.0,Purchase,SIP,1
T000000317,20240416,INV000317,SCH0007,658.0,Purchase,SIP,1
T000000318,20241231,INV000318,SCH0011,1569.0,Purchase,SIP,1
T000000319,20240725,INV000319,SCH0008,48663.0,Purchase,LumpSum,1
T000000320,20240727,INV000320,SCH0008,1240.0,Purchase,SIP,1
T000000321,20240527,INV000321,SCH0006,58702.0,Purchase,LumpSum,1
T000000322,20241226,INV000322,SCH0001,815.0,Purchase,SIP,1
T000000323,20241031,INV000323,SCH0004,1291.0,Purchase,SIP,1
T000000324,20240828,INV000324,SCH0001,2191.0,Purchase,SIP,1
T000000325,20240603,INV000325,SCH0001,8666.0,Purchase,LumpSum,1
T000000326,20240523,INV000326,SCH0012,2417.0,Purchase,SIP,1
T000000327,20240415,INV000327,SCH0003,18071.0,Purchase,LumpSum,1
T000000328,20241122,INV000328,SCH0011,511.0,Purchase,SIP,1
T000000329,20241208,INV000329,SCH0003,561.0,Purchase,SIP,1
T000000330,20240523,INV000330,SCH0001,20776.0,Purchase,LumpSum,1
T000000331,20240410,INV000331,SCH0001,13715.0,Purchase,LumpSum,1
T000000332,20241225,INV000332,SCH0009,1831.0,Purchase,SIP,1
T000000333,20240320,INV000333,SCH0003,2036.0,Purchase,SIP,1
T000000334,20241231,INV000334,SCH0001,766.0,Purchase,SIP,1
T000000335,20240401,INV000335,SCH0008,7713.0,Purchase,LumpSum,1
T000000336,20241205,INV000336,SCH0001,2413.0,Purchase,SIP,1
T000000337,20240301,INV000337,SCH0004,29234.0,Purchase,LumpSum,1
T000000338,20240618,INV000338,SCH0001,10874.0,Purchase,LumpSum,1
T000000339,20240822,INV000339,SCH0010,1564.0,Purchase,SIP,1
T000000340,20240409,INV000340,SCH0001,603.0,Purchase,SIP,1
T000000341,20240408,INV000341,SCH0006,49140.0,Purchase,LumpSum,1
T000000342,20240727,INV000342,SCH0001,627.0,Purchase,SIP,1
T000000343,20240801,INV000343,SCH0001,44654.0,Purchase,LumpSum,1
T000000344,20240621,INV000344,SCH0010,1274.0,Purchase,SIP,1
T000000345,20241110,INV000345,SCH0001,46849.0,Purchase,LumpSum,1
T000000346,20241201,INV000346,SCH0006,2272.0,Purchase,SIP,1
T000000347,20240625,INV000347,SCH0001,1860.0,Purchase,SIP,1
T000000348,20241008,INV000348,SCH0002,1979.0,Purchase,SIP,1
T000000349,20240117,INV000349,SCH0012,670.0,Purchase,SIP,1
T000000350,20240802,INV000350,SCH0010,1092.0,Purchase,SIP,1
T000000351,20240316,INV000351,SCH0008,64137.0,Purchase,LumpSum,1
T000000352,20241031,INV000352,SCH0010,2304.0,Purchase,SIP,1
T000000353,20240219,INV000353,SCH0011,1768.0,Purchase,SIP,1
T000000354,20240829,INV000354,SCH0001,23255.0,Purchase,LumpSum,1
T000000355,20241102,INV000355,SCH0006,66704.0,Purchase,LumpSum,1
T000000356,20240926,INV000356,SCH0011,870.0,Purchase,SIP,1
T000000357,20241116,INV000357,SCH0005,695.0,Purchase,SIP,1
T000000358,20241008,INV000358,SCH0001,27694.0,Purchase,LumpSum,1
T000000359,20240224,INV000359,SCH0010,55104.0,Purchase,LumpSum,1
T000000360,20241231,INV000360,SCH0003,55041.0,Purchase,LumpSum,1
T000000361,20241231,INV000361,SCH0007,1860.0,Purchase,SIP,1
T000000362,20240705,INV000362,SCH0010,2001.0,Purchase,SIP,1
T000000363,20240610,INV000363,SCH0006,32771.0,Purchase,LumpSum,1
T000000364,20241017,INV000364,SCH0003,1854.0,Purchase,SIP,1
T000000365,20240710,INV000365,SCH0012,2444.0,Purchase,SIP,1
T000000366,20241127,INV000366,SCH0010,47762.0,Purchase,LumpSum,1
T000000367,20241231,INV000367,SCH0009,525.0,Purchase,SIP,1
T000000368,20240206,INV000368,SCH0010,666.0,Purchase,SIP,1
T000000369,20240328,INV000369,SCH0010,1882.0,Purchase,SIP,1
T000000370,20240821,INV000370,SCH0009,2111.0,Purchase,SIP,1
T000000371,20240521,INV000371,SCH0011,10536.0,Purchase,LumpSum,1
T000000372,20240411,INV000372,SCH0009,20800.0,Purchase,LumpSum,1
T000000373,20240205,INV000373,SCH0006,6169.0,Purchase,LumpSum,1
T000000374,20240920,INV000374,SCH0011,2133.0,Purchase,SIP,1
T000000375,20240320,INV000375,SCH0008,1149.0,Purchase,SIP,1
T000000376,20240809,INV000376,SCH0010,1464.0,Purchase,SIP,1
T000000377,20241008,INV000377,SCH0002,41510.0,Purchase,LumpSum,1
